Source,Destination,Time,Length,Protocol,Timestamp,Anomaly,Anomaly_Category,Protocol_Category,Request_Frequency,Source_Category
30,0,41949,1269,0,2025-04-14 07:01:44.013270,0,Large Packet,Other,9,Normal
1,0,1,1427,1,2025-04-13 19:22:36.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,85,1213,0,2025-04-13 19:24:00.013270,0,Large Packet,Other,267,Bot Suspect
59,0,39224,1371,0,2025-04-14 06:16:19.013270,0,Large Packet,Other,11,Normal
1,0,146,1133,1,2025-04-13 19:25:01.013270,0,Large Packet,ICMP,233,Bot Suspect
18,0,12175,823,1,2025-04-13 22:45:30.013270,0,Normal Size,ICMP,13,Normal
80,0,39110,1016,0,2025-04-14 06:14:25.013270,0,Large Packet,Other,13,Normal
0,0,247,595,0,2025-04-13 19:26:42.013270,0,Normal Size,Other,267,Bot Suspect
1,0,282,1256,1,2025-04-13 19:27:17.013270,0,Large Packet,ICMP,233,Bot Suspect
96,0,75046,682,1,2025-04-14 16:13:21.013270,0,Normal Size,ICMP,8,Normal
22,0,34560,729,1,2025-04-14 04:58:35.013270,0,Normal Size,ICMP,11,Normal
57,0,2079,558,1,2025-04-13 19:57:14.013270,0,Normal Size,ICMP,10,Normal
49,0,43585,905,1,2025-04-14 07:29:00.013270,0,Normal Size,ICMP,13,Normal
83,0,51860,1162,0,2025-04-14 09:46:55.013270,0,Large Packet,Other,7,Normal
70,0,18787,792,0,2025-04-14 00:35:42.013270,0,Normal Size,Other,7,Normal
92,0,85530,1234,1,2025-04-14 19:08:05.013270,0,Large Packet,ICMP,20,Normal
74,0,56979,1097,0,2025-04-14 11:12:14.013270,0,Large Packet,Other,10,Normal
1,0,156,862,1,2025-04-13 19:25:11.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,62,1241,0,2025-04-13 19:23:37.013270,0,Large Packet,Other,267,Bot Suspect
0,0,232,720,1,2025-04-13 19:26:27.013270,0,Normal Size,ICMP,267,Bot Suspect
65,0,16241,1121,1,2025-04-13 23:53:16.013270,0,Large Packet,ICMP,8,Normal
61,0,2573,741,1,2025-04-13 20:05:28.013270,0,Normal Size,ICMP,19,Normal
42,0,81958,685,1,2025-04-14 18:08:33.013270,0,Normal Size,ICMP,9,Normal
6,0,65310,699,1,2025-04-14 13:31:05.013270,0,Normal Size,ICMP,13,Normal
0,0,35,813,0,2025-04-13 19:23:10.013270,0,Normal Size,Other,267,Bot Suspect
77,0,13918,575,1,2025-04-13 23:14:33.013270,0,Normal Size,ICMP,7,Normal
7,0,68577,776,1,2025-04-14 14:25:32.013270,0,Normal Size,ICMP,10,Normal
73,0,23398,849,0,2025-04-14 01:52:33.013270,0,Normal Size,Other,7,Normal
1,0,136,1119,0,2025-04-13 19:24:51.013270,0,Large Packet,Other,233,Bot Suspect
74,0,85382,876,1,2025-04-14 19:05:37.013270,0,Normal Size,ICMP,10,Normal
58,0,78187,755,0,2025-04-14 17:05:42.013270,0,Normal Size,Other,8,Normal
0,0,178,768,0,2025-04-13 19:25:33.013270,0,Normal Size,Other,267,Bot Suspect
0,0,265,1329,1,2025-04-13 19:27:00.013270,0,Large Packet,ICMP,267,Bot Suspect
3,0,86123,880,0,2025-04-14 19:17:58.013270,0,Normal Size,Other,6,Normal
46,0,81871,610,0,2025-04-14 18:07:06.013270,0,Normal Size,Other,9,Normal
92,0,60500,1199,1,2025-04-14 12:10:55.013270,0,Large Packet,ICMP,20,Normal
42,0,63076,896,0,2025-04-14 12:53:51.013270,0,Normal Size,Other,9,Normal
101,0,32981,852,0,2025-04-14 04:32:16.013270,0,Normal Size,Other,18,Normal
2,0,61665,1123,0,2025-04-14 12:30:20.013270,0,Large Packet,Other,16,Normal
1,0,32,1462,1,2025-04-13 19:23:07.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,155,911,0,2025-04-13 19:25:10.013270,0,Normal Size,Other,267,Bot Suspect
43,0,49153,891,1,2025-04-14 09:01:48.013270,0,Normal Size,ICMP,7,Normal
0,0,213,1441,0,2025-04-13 19:26:08.013270,0,Large Packet,Other,267,Bot Suspect
35,0,61550,1063,0,2025-04-14 12:28:25.013270,0,Large Packet,Other,12,Normal
22,0,57761,1090,0,2025-04-14 11:25:16.013270,0,Large Packet,Other,11,Normal
98,0,46163,1358,0,2025-04-14 08:11:58.013270,0,Large Packet,Other,13,Normal
1,0,207,1461,1,2025-04-13 19:26:02.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,29,795,1,2025-04-13 19:23:04.013270,0,Normal Size,ICMP,267,Bot Suspect
0,0,174,516,0,2025-04-13 19:25:29.013270,0,Normal Size,Other,267,Bot Suspect
85,0,27139,1111,1,2025-04-14 02:54:54.013270,0,Large Packet,ICMP,8,Normal
77,0,71324,719,1,2025-04-14 15:11:19.013270,0,Normal Size,ICMP,7,Normal
56,0,33756,1327,1,2025-04-14 04:45:11.013270,0,Large Packet,ICMP,15,Normal
0,0,83,1113,0,2025-04-13 19:23:58.013270,0,Large Packet,Other,267,Bot Suspect
94,0,4757,650,0,2025-04-13 20:41:52.013270,0,Normal Size,Other,19,Normal
0,0,112,760,0,2025-04-13 19:24:27.013270,0,Normal Size,Other,267,Bot Suspect
1,0,70,1161,0,2025-04-13 19:23:45.013270,0,Large Packet,Other,233,Bot Suspect
9,0,117,664,1,2025-04-13 19:24:32.013270,0,Normal Size,ICMP,10,Normal
83,0,68904,865,0,2025-04-14 14:30:59.013270,0,Normal Size,Other,7,Normal
49,0,29486,576,1,2025-04-14 03:34:01.013270,0,Normal Size,ICMP,13,Normal
92,0,34701,1061,1,2025-04-14 05:00:56.013270,0,Large Packet,ICMP,20,Normal
1,0,0,545,0,2025-04-13 19:22:35.013270,0,Normal Size,Other,233,Bot Suspect
61,0,52853,962,1,2025-04-14 10:03:28.013270,0,Normal Size,ICMP,19,Normal
92,0,6783,674,0,2025-04-13 21:15:38.013270,0,Normal Size,Other,20,Normal
0,0,239,705,1,2025-04-13 19:26:34.013270,0,Normal Size,ICMP,267,Bot Suspect
45,0,82503,603,1,2025-04-14 18:17:38.013270,0,Normal Size,ICMP,11,Normal
6,0,74691,1021,1,2025-04-14 16:07:26.013270,0,Large Packet,ICMP,13,Normal
50,0,38258,1041,1,2025-04-14 06:00:13.013270,0,Large Packet,ICMP,12,Normal
98,0,65455,578,0,2025-04-14 13:33:30.013270,0,Normal Size,Other,13,Normal
7,0,85680,600,0,2025-04-14 19:10:35.013270,0,Normal Size,Other,10,Normal
16,0,1645,781,1,2025-04-13 19:50:00.013270,0,Normal Size,ICMP,10,Normal
28,0,34020,927,1,2025-04-14 04:49:35.013270,0,Normal Size,ICMP,12,Normal
42,0,59207,992,0,2025-04-14 11:49:22.013270,0,Normal Size,Other,9,Normal
1,0,246,978,0,2025-04-13 19:26:41.013270,0,Normal Size,Other,233,Bot Suspect
99,0,21172,1301,1,2025-04-14 01:15:27.013270,0,Large Packet,ICMP,9,Normal
90,0,50975,1157,0,2025-04-14 09:32:10.013270,0,Large Packet,Other,14,Normal
87,0,85514,1254,0,2025-04-14 19:07:49.013270,0,Large Packet,Other,15,Normal
14,0,34636,1211,1,2025-04-14 04:59:51.013270,0,Large Packet,ICMP,13,Normal
37,0,48543,1398,1,2025-04-14 08:51:38.013270,0,Large Packet,ICMP,5,Normal
1,0,208,1436,1,2025-04-13 19:26:03.013270,0,Large Packet,ICMP,233,Bot Suspect
71,0,5084,1137,1,2025-04-13 20:47:19.013270,0,Large Packet,ICMP,6,Normal
1,0,12,1422,0,2025-04-13 19:22:47.013270,0,Large Packet,Other,233,Bot Suspect
87,0,16032,1366,1,2025-04-13 23:49:47.013270,0,Large Packet,ICMP,15,Normal
13,0,59720,672,1,2025-04-14 11:57:55.013270,0,Normal Size,ICMP,14,Normal
51,0,21520,872,0,2025-04-14 01:21:15.013270,0,Normal Size,Other,11,Normal
94,0,24951,884,0,2025-04-14 02:18:26.013270,0,Normal Size,Other,19,Normal
37,0,24762,583,0,2025-04-14 02:15:17.013270,0,Normal Size,Other,5,Normal
34,0,62552,921,1,2025-04-14 12:45:07.013270,0,Normal Size,ICMP,10,Normal
1,0,57,1349,1,2025-04-13 19:23:32.013270,0,Large Packet,ICMP,233,Bot Suspect
1,0,123,1098,0,2025-04-13 19:24:38.013270,0,Large Packet,Other,233,Bot Suspect
46,0,31598,1498,0,2025-04-14 04:09:13.013270,0,Large Packet,Other,9,Normal
68,0,72258,1445,0,2025-04-14 15:26:53.013270,0,Large Packet,Other,12,Normal
0,0,251,1404,1,2025-04-13 19:26:46.013270,0,Large Packet,ICMP,267,Bot Suspect
92,0,66435,1439,0,2025-04-14 13:49:50.013270,0,Large Packet,Other,20,Normal
73,0,3430,1296,1,2025-04-13 20:19:45.013270,0,Large Packet,ICMP,7,Normal
77,0,68244,516,1,2025-04-14 14:19:59.013270,0,Normal Size,ICMP,7,Normal
0,0,214,556,0,2025-04-13 19:26:09.013270,0,Normal Size,Other,267,Bot Suspect
64,0,70316,990,0,2025-04-14 14:54:31.013270,0,Normal Size,Other,8,Normal
19,0,8712,1339,0,2025-04-13 21:47:47.013270,0,Large Packet,Other,14,Normal
70,0,38565,778,1,2025-04-14 06:05:20.013270,0,Normal Size,ICMP,7,Normal
94,0,61916,1243,1,2025-04-14 12:34:31.013270,0,Large Packet,ICMP,19,Normal
21,0,82856,1331,0,2025-04-14 18:23:31.013270,0,Large Packet,Other,9,Normal
0,0,64,1179,0,2025-04-13 19:23:39.013270,0,Large Packet,Other,267,Bot Suspect
52,0,74553,1391,0,2025-04-14 16:05:08.013270,0,Large Packet,Other,12,Normal
0,0,24,935,0,2025-04-13 19:22:59.013270,0,Normal Size,Other,267,Bot Suspect
54,0,69626,890,0,2025-04-14 14:43:01.013270,0,Normal Size,Other,9,Normal
59,0,4853,883,1,2025-04-13 20:43:28.013270,0,Normal Size,ICMP,11,Normal
0,0,284,1343,1,2025-04-13 19:27:19.013270,0,Large Packet,ICMP,267,Bot Suspect
29,0,28380,725,1,2025-04-14 03:15:35.013270,0,Normal Size,ICMP,18,Normal
14,0,4648,793,0,2025-04-13 20:40:03.013270,0,Normal Size,Other,13,Normal
34,0,75897,787,0,2025-04-14 16:27:32.013270,0,Normal Size,Other,10,Normal
74,0,7287,810,1,2025-04-13 21:24:02.013270,0,Normal Size,ICMP,10,Normal
30,0,74532,787,1,2025-04-14 16:04:47.013270,0,Normal Size,ICMP,9,Normal
50,0,24574,1451,0,2025-04-14 02:12:09.013270,0,Large Packet,Other,12,Normal
41,0,6960,1301,0,2025-04-13 21:18:35.013270,0,Large Packet,Other,10,Normal
24,0,68344,647,1,2025-04-14 14:21:39.013270,0,Normal Size,ICMP,8,Normal
57,0,20581,550,0,2025-04-14 01:05:36.013270,0,Normal Size,Other,10,Normal
10,0,39986,955,1,2025-04-14 06:29:01.013270,0,Normal Size,ICMP,13,Normal
9,0,9184,646,0,2025-04-13 21:55:39.013270,0,Normal Size,Other,10,Normal
43,0,34008,1455,1,2025-04-14 04:49:23.013270,0,Large Packet,ICMP,7,Normal
93,0,47304,1461,1,2025-04-14 08:30:59.013270,0,Large Packet,ICMP,5,Normal
0,0,97,560,0,2025-04-13 19:24:12.013270,0,Normal Size,Other,267,Bot Suspect
1,0,298,736,0,2025-04-13 19:27:33.013270,0,Normal Size,Other,233,Bot Suspect
87,0,70981,1049,0,2025-04-14 15:05:36.013270,0,Large Packet,Other,15,Normal
35,0,20079,623,1,2025-04-14 00:57:14.013270,0,Normal Size,ICMP,12,Normal
0,0,186,1028,1,2025-04-13 19:25:41.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,190,1293,1,2025-04-13 19:25:45.013270,0,Large Packet,ICMP,233,Bot Suspect
19,0,26745,792,1,2025-04-14 02:48:20.013270,0,Normal Size,ICMP,14,Normal
1,0,73,684,1,2025-04-13 19:23:48.013270,0,Normal Size,ICMP,233,Bot Suspect
44,0,2482,1192,0,2025-04-13 20:03:57.013270,0,Large Packet,Other,12,Normal
91,0,26399,877,0,2025-04-14 02:42:34.013270,0,Normal Size,Other,10,Normal
59,0,1622,519,0,2025-04-13 19:49:37.013270,0,Normal Size,Other,11,Normal
16,0,81061,912,0,2025-04-14 17:53:36.013270,0,Normal Size,Other,10,Normal
25,0,64929,1258,0,2025-04-14 13:24:44.013270,0,Large Packet,Other,12,Normal
75,0,78797,1269,0,2025-04-14 17:15:52.013270,0,Large Packet,Other,12,Normal
76,0,43001,810,0,2025-04-14 07:19:16.013270,0,Normal Size,Other,8,Normal
0,0,16,540,0,2025-04-13 19:22:51.013270,0,Normal Size,Other,267,Bot Suspect
1,0,178,824,1,2025-04-13 19:25:33.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,117,1324,1,2025-04-13 19:24:32.013270,0,Large Packet,ICMP,267,Bot Suspect
55,0,65155,1454,0,2025-04-14 13:28:30.013270,0,Large Packet,Other,9,Normal
70,0,23499,762,1,2025-04-14 01:54:14.013270,0,Normal Size,ICMP,7,Normal
0,0,291,558,0,2025-04-13 19:27:26.013270,0,Normal Size,Other,267,Bot Suspect
1,0,78,587,1,2025-04-13 19:23:53.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,232,1459,0,2025-04-13 19:26:27.013270,0,Large Packet,Other,267,Bot Suspect
1,0,50,1220,0,2025-04-13 19:23:25.013270,0,Large Packet,Other,233,Bot Suspect
72,0,19029,1474,0,2025-04-14 00:39:44.013270,0,Large Packet,Other,8,Normal
68,0,42534,906,1,2025-04-14 07:11:29.013270,0,Normal Size,ICMP,12,Normal
1,0,167,1396,0,2025-04-13 19:25:22.013270,0,Large Packet,Other,233,Bot Suspect
46,0,64644,1325,0,2025-04-14 13:19:59.013270,0,Large Packet,Other,9,Normal
92,0,44965,928,1,2025-04-14 07:52:00.013270,0,Normal Size,ICMP,20,Normal
0,0,150,510,1,2025-04-13 19:25:05.013270,0,Normal Size,ICMP,267,Bot Suspect
36,0,73972,1358,0,2025-04-14 15:55:27.013270,0,Large Packet,Other,11,Normal
0,0,100,810,0,2025-04-13 19:24:15.013270,0,Normal Size,Other,267,Bot Suspect
0,0,211,1398,1,2025-04-13 19:26:06.013270,0,Large Packet,ICMP,267,Bot Suspect
58,0,6276,1275,0,2025-04-13 21:07:11.013270,0,Large Packet,Other,8,Normal
49,0,19250,842,1,2025-04-14 00:43:25.013270,0,Normal Size,ICMP,13,Normal
87,0,83441,730,0,2025-04-14 18:33:16.013270,0,Normal Size,Other,15,Normal
57,0,19541,863,1,2025-04-14 00:48:16.013270,0,Normal Size,ICMP,10,Normal
0,0,205,912,1,2025-04-13 19:26:00.013270,0,Normal Size,ICMP,267,Bot Suspect
1,0,131,544,0,2025-04-13 19:24:46.013270,0,Normal Size,Other,233,Bot Suspect
95,0,77,703,0,2025-04-13 19:23:52.013270,0,Normal Size,Other,11,Normal
16,0,30015,819,1,2025-04-14 03:42:50.013270,0,Normal Size,ICMP,10,Normal
2,0,21195,833,0,2025-04-14 01:15:50.013270,0,Normal Size,Other,16,Normal
1,0,89,1095,0,2025-04-13 19:24:04.013270,0,Large Packet,Other,233,Bot Suspect
7,0,57372,1073,0,2025-04-14 11:18:47.013270,0,Large Packet,Other,10,Normal
1,0,136,1145,0,2025-04-13 19:24:51.013270,0,Large Packet,Other,233,Bot Suspect
82,0,5655,1391,0,2025-04-13 20:56:50.013270,0,Large Packet,Other,7,Normal
35,0,55337,1189,0,2025-04-14 10:44:52.013270,0,Large Packet,Other,12,Normal
1,0,31,560,1,2025-04-13 19:23:06.013270,0,Normal Size,ICMP,233,Bot Suspect
38,0,27952,1186,1,2025-04-14 03:08:27.013270,0,Large Packet,ICMP,4,Normal
1,0,241,1073,0,2025-04-13 19:26:36.013270,0,Large Packet,Other,233,Bot Suspect
75,0,22042,1147,1,2025-04-14 01:29:57.013270,0,Large Packet,ICMP,12,Normal
45,0,12112,1470,1,2025-04-13 22:44:27.013270,0,Large Packet,ICMP,11,Normal
35,0,60279,964,0,2025-04-14 12:07:14.013270,0,Normal Size,Other,12,Normal
14,0,26017,719,1,2025-04-14 02:36:12.013270,0,Normal Size,ICMP,13,Normal
54,0,79148,782,1,2025-04-14 17:21:43.013270,0,Normal Size,ICMP,9,Normal
0,0,52,1008,1,2025-04-13 19:23:27.013270,0,Large Packet,ICMP,267,Bot Suspect
10,0,46514,705,1,2025-04-14 08:17:49.013270,0,Normal Size,ICMP,13,Normal
61,0,17778,720,1,2025-04-14 00:18:53.013270,0,Normal Size,ICMP,19,Normal
0,0,148,733,1,2025-04-13 19:25:03.013270,0,Normal Size,ICMP,267,Bot Suspect
66,0,79561,906,1,2025-04-14 17:28:36.013270,0,Normal Size,ICMP,10,Normal
67,0,21927,655,0,2025-04-14 01:28:02.013270,0,Normal Size,Other,5,Normal
66,0,86143,631,0,2025-04-14 19:18:18.013270,0,Normal Size,Other,10,Normal
26,0,76077,1387,0,2025-04-14 16:30:32.013270,0,Large Packet,Other,10,Normal
87,0,34387,659,0,2025-04-14 04:55:42.013270,0,Normal Size,Other,15,Normal
35,0,74441,1411,0,2025-04-14 16:03:16.013270,0,Large Packet,Other,12,Normal
44,0,75304,987,0,2025-04-14 16:17:39.013270,0,Normal Size,Other,12,Normal
75,0,814,866,0,2025-04-13 19:36:09.013270,0,Normal Size,Other,12,Normal
59,0,67298,600,1,2025-04-14 14:04:13.013270,0,Normal Size,ICMP,11,Normal
85,0,47362,1292,0,2025-04-14 08:31:57.013270,0,Large Packet,Other,8,Normal
0,0,39,1105,0,2025-04-13 19:23:14.013270,0,Large Packet,Other,267,Bot Suspect
1,0,163,1424,0,2025-04-13 19:25:18.013270,0,Large Packet,Other,233,Bot Suspect
62,0,76242,1043,0,2025-04-14 16:33:17.013270,0,Large Packet,Other,13,Normal
1,0,148,1212,0,2025-04-13 19:25:03.013270,0,Large Packet,Other,233,Bot Suspect
0,0,88,741,0,2025-04-13 19:24:03.013270,0,Normal Size,Other,267,Bot Suspect
69,0,25849,1417,1,2025-04-14 02:33:24.013270,0,Large Packet,ICMP,8,Normal
33,0,52307,1277,0,2025-04-14 09:54:22.013270,0,Large Packet,Other,7,Normal
33,0,72715,1116,1,2025-04-14 15:34:30.013270,0,Large Packet,ICMP,7,Normal
100,0,76323,721,1,2025-04-14 16:34:38.013270,0,Normal Size,ICMP,7,Normal
0,0,153,626,1,2025-04-13 19:25:08.013270,0,Normal Size,ICMP,267,Bot Suspect
89,0,83807,512,0,2025-04-14 18:39:22.013270,0,Normal Size,Other,9,Normal
1,0,18,711,0,2025-04-13 19:22:53.013270,0,Normal Size,Other,233,Bot Suspect
0,0,160,1457,0,2025-04-13 19:25:15.013270,0,Large Packet,Other,267,Bot Suspect
1,0,52,889,1,2025-04-13 19:23:27.013270,0,Normal Size,ICMP,233,Bot Suspect
1,0,32,1445,0,2025-04-13 19:23:07.013270,0,Large Packet,Other,233,Bot Suspect
1,0,83,884,1,2025-04-13 19:23:58.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,98,551,0,2025-04-13 19:24:13.013270,0,Normal Size,Other,267,Bot Suspect
66,0,33933,1141,0,2025-04-14 04:48:08.013270,0,Large Packet,Other,10,Normal
47,0,39282,747,1,2025-04-14 06:17:17.013270,0,Normal Size,ICMP,11,Normal
0,0,272,1070,1,2025-04-13 19:27:07.013270,0,Large Packet,ICMP,267,Bot Suspect
32,0,59379,1192,1,2025-04-14 11:52:14.013270,0,Large Packet,ICMP,12,Normal
65,0,75629,1125,0,2025-04-14 16:23:04.013270,0,Large Packet,Other,8,Normal
0,0,88,1462,0,2025-04-13 19:24:03.013270,0,Large Packet,Other,267,Bot Suspect
1,0,18,1445,1,2025-04-13 19:22:53.013270,0,Large Packet,ICMP,233,Bot Suspect
69,0,57132,682,1,2025-04-14 11:14:47.013270,0,Normal Size,ICMP,8,Normal
53,0,52329,1141,1,2025-04-14 09:54:44.013270,0,Large Packet,ICMP,7,Normal
15,0,61272,1293,0,2025-04-14 12:23:47.013270,0,Large Packet,Other,7,Normal
0,0,257,908,0,2025-04-13 19:26:52.013270,0,Normal Size,Other,267,Bot Suspect
36,0,79111,935,1,2025-04-14 17:21:06.013270,0,Normal Size,ICMP,11,Normal
56,0,41157,1237,0,2025-04-14 06:48:32.013270,0,Large Packet,Other,15,Normal
45,0,7657,913,0,2025-04-13 21:30:12.013270,0,Normal Size,Other,11,Normal
11,0,40738,1283,1,2025-04-14 06:41:33.013270,0,Large Packet,ICMP,15,Normal
41,0,21563,1063,0,2025-04-14 01:21:58.013270,0,Large Packet,Other,10,Normal
2,0,73543,1277,0,2025-04-14 15:48:18.013270,0,Large Packet,Other,16,Normal
1,0,187,1264,0,2025-04-13 19:25:42.013270,0,Large Packet,Other,233,Bot Suspect
52,0,29629,1008,0,2025-04-14 03:36:24.013270,0,Large Packet,Other,12,Normal
53,0,78617,1296,0,2025-04-14 17:12:52.013270,0,Large Packet,Other,7,Normal
79,0,13629,1100,1,2025-04-13 23:09:44.013270,0,Large Packet,ICMP,6,Normal
0,0,132,746,1,2025-04-13 19:24:47.013270,0,Normal Size,ICMP,267,Bot Suspect
12,0,33660,1498,1,2025-04-14 04:43:35.013270,0,Large Packet,ICMP,9,Normal
56,0,38110,1147,1,2025-04-14 05:57:45.013270,0,Large Packet,ICMP,15,Normal
0,0,57,1148,1,2025-04-13 19:23:32.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,201,1097,0,2025-04-13 19:25:56.013270,0,Large Packet,Other,233,Bot Suspect
91,0,57545,745,0,2025-04-14 11:21:40.013270,0,Normal Size,Other,10,Normal
0,0,93,943,1,2025-04-13 19:24:08.013270,0,Normal Size,ICMP,267,Bot Suspect
0,0,168,592,1,2025-04-13 19:25:23.013270,0,Normal Size,ICMP,267,Bot Suspect
48,0,74666,1022,0,2025-04-14 16:07:01.013270,0,Large Packet,Other,9,Normal
1,0,250,755,0,2025-04-13 19:26:45.013270,0,Normal Size,Other,233,Bot Suspect
0,0,2,665,1,2025-04-13 19:22:37.013270,0,Normal Size,ICMP,267,Bot Suspect
72,0,65641,1455,0,2025-04-14 13:36:36.013270,0,Large Packet,Other,8,Normal
1,0,148,1173,0,2025-04-13 19:25:03.013270,0,Large Packet,Other,233,Bot Suspect
61,0,2443,989,1,2025-04-13 20:03:18.013270,0,Normal Size,ICMP,19,Normal
93,0,60315,1494,0,2025-04-14 12:07:50.013270,0,Large Packet,Other,5,Normal
50,0,55106,1319,0,2025-04-14 10:41:01.013270,0,Large Packet,Other,12,Normal
0,0,108,505,1,2025-04-13 19:24:23.013270,0,Normal Size,ICMP,267,Bot Suspect
23,0,83560,565,1,2025-04-14 18:35:15.013270,0,Normal Size,ICMP,10,Normal
2,0,41873,1077,1,2025-04-14 07:00:28.013270,0,Large Packet,ICMP,16,Normal
35,0,55961,1202,0,2025-04-14 10:55:16.013270,0,Large Packet,Other,12,Normal
0,0,137,517,0,2025-04-13 19:24:52.013270,0,Normal Size,Other,267,Bot Suspect
24,0,50861,1345,0,2025-04-14 09:30:16.013270,0,Large Packet,Other,8,Normal
1,0,271,710,1,2025-04-13 19:27:06.013270,0,Normal Size,ICMP,233,Bot Suspect
36,0,31480,1436,0,2025-04-14 04:07:15.013270,0,Large Packet,Other,11,Normal
0,0,138,788,1,2025-04-13 19:24:53.013270,0,Normal Size,ICMP,267,Bot Suspect
101,0,82985,972,1,2025-04-14 18:25:40.013270,0,Normal Size,ICMP,18,Normal
35,0,60535,1202,1,2025-04-14 12:11:30.013270,0,Large Packet,ICMP,12,Normal
6,0,47523,1321,1,2025-04-14 08:34:38.013270,0,Large Packet,ICMP,13,Normal
20,0,85595,1323,0,2025-04-14 19:09:10.013270,0,Large Packet,Other,10,Normal
1,0,81,1322,1,2025-04-13 19:23:56.013270,0,Large Packet,ICMP,233,Bot Suspect
97,0,72274,1462,1,2025-04-14 15:27:09.013270,1,Large Packet,ICMP,10,Normal
0,0,68,1029,1,2025-04-13 19:23:43.013270,0,Large Packet,ICMP,267,Bot Suspect
0,0,264,1368,0,2025-04-13 19:26:59.013270,0,Large Packet,Other,267,Bot Suspect
13,0,53625,1382,0,2025-04-14 10:16:20.013270,0,Large Packet,Other,14,Normal
67,0,86066,1122,1,2025-04-14 19:17:01.013270,0,Large Packet,ICMP,5,Normal
94,0,44064,600,1,2025-04-14 07:36:59.013270,0,Normal Size,ICMP,19,Normal
7,0,15358,1439,0,2025-04-13 23:38:33.013270,0,Large Packet,Other,10,Normal
1,0,276,719,1,2025-04-13 19:27:11.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,33,1329,1,2025-04-13 19:23:08.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,72,1197,0,2025-04-13 19:23:47.013270,0,Large Packet,Other,233,Bot Suspect
0,0,218,1017,0,2025-04-13 19:26:13.013270,0,Large Packet,Other,267,Bot Suspect
0,0,61,622,0,2025-04-13 19:23:36.013270,0,Normal Size,Other,267,Bot Suspect
